Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1480;25962;"Imaging Science Journal";journal;"13682199, 1743131X";0,241;Q4;29;0;96;0;106;96;0,72;0,00;United Kingdom;Western Europe;"Maney Publishing";"1997-2021";"Media Technology (Q2); Computer Vision and Pattern Recognition (Q4)";"Computer Science; Engineering"
1481;21100220473;"International Journal of Mobile Human Computer Interaction";journal;"1942390X, 19423918";0,241;Q4;20;1;31;91;54;31;2,08;91,00;United States;Northern America;"IGI Global Publishing";"2009-2021";"Human-Computer Interaction (Q4)";"Computer Science"
1482;21100936589;"Journal of ICT Standardization";journal;"2245800X, 22460853";0,241;Q3;5;30;58;858;65;52;1,12;28,60;Denmark;Western Europe;"River Publishers";"2015-2022";"Computer Networks and Communications (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Computer Science Applications (Q4); Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1483;21100893979;"Mathematical Modeling and Computing";journal;"23129794, 24153788";0,241;Q4;8;88;152;2315;142;152;0,96;26,31;United Kingdom;Western Europe;"Lviv Polytechnic National University";"2014-2022";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4)";"Computer Science; Mathematics"
1484;71244;"Communications - Scientific Letters of the University of Zilina";journal;"13354205, 25857878";0,240;Q3;25;90;234;2717;250;234;0,92;30,19;Slovakia;Eastern Europe;"University of Zilina";"2003-2022";"Automotive Engineering (Q3); Civil and Structural Engineering (Q3); Computer Networks and Communications (Q3); Economics and Econometrics (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Transportation (Q4)";"Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
1485;144972;"Design Issues";journal;"07479360";0,240;Q3;41;27;90;63;85;55;0,81;2,33;United States;Northern America;"MIT Press Journals";"2005-2022";"Arts and Humanities (miscellaneous) (Q2); Computer Graphics and Computer-Aided Design (Q3)";"Arts and Humanities; Computer Science"
1486;21100992514;"International Journal of Computer Networks and Applications";journal;"23950455";0,240;Q3;6;63;80;2301;106;80;1,33;36,52;India;Asiatic Region;"EverScience Publications";"2020-2022";"Computer Networks and Communications (Q3); Computer Science Applications (Q4)";"Computer Science"
1487;26985;"Kinetics and Catalysis";journal;"00231584, 16083210";0,240;Q4;38;83;270;3139;305;270;1,16;37,82;United States;Northern America;"Pleiades Publishing";"1968-1971, 1984-1992, 1996-2022";"Chemistry (miscellaneous) (Q3); Catalysis (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Chemical Engineering; Chemistry; Computer Science; Mathematics"
1488;24449;"Kybernetika";journal;"00235954, 1805949X";0,240;Q4;39;33;172;991;118;167;0,48;30,03;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2022";"Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Information Systems (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics"
1489;24258;"Inteligencia Artificial";journal;"11373601";0,239;Q4;13;21;61;881;57;61;1,10;41,95;Spain;Western Europe;"Asociacion Espanola de Inteligencia Artificial";"2004-2010, 2012-2022";"Artificial Intelligence (Q4); Software (Q4)";"Computer Science"
1490;21100787102;"International Biomechanics";journal;"23335432";0,239;Q4;11;5;27;195;41;27;1,11;39,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2022";"Orthopedics and Sports Medicine (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3); Rehabilitation (Q3); Biomedical Engineering (Q4); Computer Science Applications (Q4)";"Computer Science; Engineering; Health Professions; Medicine"
1491;21101027245;"Journal of Statistical Theory and Applications";journal;"15387887, 22141766";0,239;Q4;6;14;78;452;79;78;0,99;32,29;France;Western Europe;"Springer International Publishing AG";"2020-2022";"Applied Mathematics (Q4); Computer Science Applications (Q4); Statistics and Probability (Q4)";"Computer Science; Mathematics"
1492;4700153605;"Tongxin Xuebao/Journal on Communications";journal;"1000436X";0,239;Q3;31;220;721;7143;928;721;1,37;32,47;China;Asiatic Region;"Posts &amp;Telecom Press";"2005-2022";"Computer Networks and Communications (Q3); Information Systems (Q4); Signal Processing (Q4)";"Computer Science"
1493;21100858129;"International Journal of Applied Metaheuristic Computing";journal;"19478283, 19478291";0,238;Q4;7;5;98;143;99;98;0,75;28,60;United States;Northern America;"IGI Global Publishing";"2016, 2018-2022";"Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Decision Sciences (miscellaneous) (Q4); Modeling and Simulation (Q4); Statistics and Probability (Q4)";"Computer Science; Decision Sciences; Mathematics"
1494;21101097044;"Graphics and Visual Computing";journal;"26666294";0,237;Q3;4;0;9;0;14;9;1,00;0,00;United Kingdom;Western Europe;"Elsevier Ltd.";"2020";"Computer Graphics and Computer-Aided Design (Q3); Computer Science (miscellaneous) (Q3)";"Computer Science"
1495;21100790777;"Journal of Computing Science and Engineering";journal;"19764677, 20938020";0,237;Q4;19;17;45;403;59;45;0,67;23,71;South Korea;Asiatic Region;"Korean Institute of Information Scientists and Engineers";"2012-2022";"Engineering (miscellaneous) (Q3); Computer Science Applications (Q4)";"Computer Science; Engineering"
1496;7900153143;"International Journal of Simulation and Process Modelling";journal;"17402123, 17402131";0,236;Q4;23;27;151;980;121;148;0,75;36,30;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2005-2022";"Applied Mathematics (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
1497;21100931880;"Uniciencia";journal;"22153470";0,236;Q3;6;50;86;1813;77;85;0,91;36,26;Costa Rica;Latin America;"Universidad Nacional";"2019-2022";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3); Social Sciences (miscellaneous) (Q3)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Earth and Planetary Sciences; Mathematics; Physics and Astronomy; Social Sciences"
1498;21100201512;"International Journal of Decision Support System Technology";journal;"19416296, 1941630X";0,235;Q3;13;49;59;1930;74;59;1,23;39,39;United States;Northern America;"IGI Global Publishing";"2009-2022";"Computer Science (miscellaneous) (Q3); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
1499;21100842159;"International Review of Applied Sciences and Engineering";journal;"20620810, 20634269";0,235;Q4;9;37;106;1198;124;105;1,32;32,38;Hungary;Eastern Europe;"Akademiai Kiado";"2017-2022";"Architecture (Q2); Engineering (miscellaneous) (Q3); Environmental Engineering (Q3); Materials Science (miscellaneous) (Q3); Information Systems (Q4); Management Science and Operations Research (Q4)";"Computer Science; Decision Sciences; Engineering; Environmental Science; Materials Science"
1500;21100244604;"Scientific Visualization";journal;"20793537";0,235;Q4;12;46;170;1075;100;170;0,66;23,37;Russian Federation;Eastern Europe;"National Research Nuclear University "MEPhI"";"2013-2022";"Computer Vision and Pattern Recognition (Q4); Software (Q4)";"Computer Science"
1501;21101021990;"International Journal of Intelligent Systems and Applications in Engineering";journal;"21476799";0,234;Q3;9;196;66;5030;115;66;1,74;25,66;Turkey;Middle East;"Ismail Saritas";"2020-2022";"Computer Graphics and Computer-Aided Design (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Information Systems (Q4)";"Computer Science; Engineering"
1502;21100836592;"International Journal of Technology Marketing";journal;"17418798, 1741878X";0,234;Q4;15;27;55;1625;61;55;0,80;60,19;Switzerland;Western Europe;"Inderscience Publishers";"2005-2022";"Marketing (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science"
1503;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";0,234;Q4;8;19;35;1095;34;35;0,88;57,63;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2022";"Industrial and Manufacturing Engineering (Q3); Management Information Systems (Q3); Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Engineering"
1504;27275;"Journal of High Speed Networks";journal;"09266801, 18758940";0,234;Q3;22;23;74;653;76;73;1,06;28,39;Netherlands;Western Europe;"IOS Press BV";"1992-2008, 2010-2022";"Computer Networks and Communications (Q3); Hardware and Architecture (Q4); Information Systems (Q4)";"Computer Science"
1505;21100897136;"Karbala International Journal of Modern Science";journal;"24056103, 2405609X";0,234;Q3;24;64;119;2741;188;119;1,53;42,83;Iraq;Middle East;"University of Kerbala";"2015-2022";"Multidisciplinary (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Multidisciplinary; Physics and Astronomy"
1506;19900191768;"Control Engineering and Applied Informatics";journal;"14548658";0,233;Q3;22;35;104;1172;119;104;1,10;33,49;Romania;Eastern Europe;"Romanian Society of Control Engineering and Technical Informatics";"2010-2022";"Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Engineering"
1507;200147134;"First Monday";journal;"13960466";0,233;Q3;79;0;27;0;33;27;1,00;0,00;United States;Northern America;"First Monday";"1996-2020";"Law (Q2); Computer Networks and Communications (Q3); Human-Computer Interaction (Q4)";"Computer Science; Social Sciences"
1508;19400156805;"International Journal of Information and Computer Security";journal;"17441765, 17441773";0,233;Q3;16;54;151;1992;131;147;0,78;36,89;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2007-2022";"Computer Networks and Communications (Q3); Safety, Risk, Reliability and Quality (Q3); Hardware and Architecture (Q4); Software (Q4)";"Computer Science; Engineering"
1509;21100788860;"International Journal of Mechanical Engineering and Robotics Research";journal;"22780149";0,233;Q4;15;125;504;2660;496;504;1,01;21,28;India;Asiatic Region;"";"2016-2022";"Mechanical Engineering (Q3); Artificial Intelligence (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
1510;19700201527;"IPSJ Transactions on Bioinformatics";journal;"18826679";0,233;Q4;4;4;10;124;9;10;1,00;31,00;Japan;Asiatic Region;"Information Processing Society of Japan";"2008-2022";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Computer Science Applications (Q4)";"Biochemistry, Genetics and Molecular Biology; Computer Science"
1511;21100902867;"Differencialnie Uravnenia i Protsesy Upravlenia";journal;"18172172";0,232;Q4;5;21;88;448;29;88;0,31;21,33;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2019-2022";"Analysis (Q4); Applied Mathematics (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Information Systems (Q4); Software (Q4)";"Computer Science; Mathematics"
1512;21100223333;"International Journal of Distributed Systems and Technologies";journal;"19473540, 19473532";0,232;Q3;14;21;64;594;76;64;1,38;28,29;United States;Northern America;"IGI Publishing";"2010-2022";"Computer Networks and Communications (Q3); Hardware and Architecture (Q4)";"Computer Science"
1513;21100857397;"International Journal of E-Services and Mobile Applications";journal;"1941627X, 19416288";0,232;Q3;11;26;62;2005;91;62;1,26;77,12;United States;Northern America;"IGI Global Publishing";"2017-2022";"Computer Networks and Communications (Q3); Management Information Systems (Q3); Marketing (Q3); Strategy and Management (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science"
1514;6400153175;"International Journal of Services Operations and Informatics";journal;"1741539X, 17415403";0,232;Q4;15;9;43;537;49;42;1,06;59,67;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2006-2013, 2016-2022";"Management Information Systems (Q3); Computer Science Applications (Q4); Information Systems (Q4); Management Science and Operations Research (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
1515;19869;"Programming and Computer Software";journal;"16083261, 03617688";0,232;Q4;21;69;217;2022;187;217;0,90;29,30;United States;Northern America;"Pleiades Publishing";"1978-1992, 1996-2022";"Software (Q4)";"Computer Science"
1516;30232;"Economic Computation and Economic Cybernetics Studies and Research";journal;"0424267X, 18423264";0,231;Q4;23;79;225;1868;218;225;0,98;23,65;Romania;Eastern Europe;"Editura Academia de studii economice";"1968-1969, 1971-1973, 1975-1989, 2008-2022";"Economics and Econometrics (Q3); Applied Mathematics (Q4); Computer Science Applications (Q4)";"Computer Science; Economics, Econometrics and Finance; Mathematics"
1517;21100226431;"International Conference on ICT Convergence";conference and proceedings;"21621241, 21621233";0,231;-;20;596;968;7880;696;964;0,72;13,22;United States;Northern America;"IEEE Computer Society";"2012-2014, 2020-2021";"Computer Networks and Communications; Information Systems";"Computer Science"
1518;21100890383;"International Journal of Computing and Digital Systems";journal;"2210142X";0,231;Q3;14;170;322;6550;419;322;1,14;38,53;Bahrain;Middle East;"University of Bahrain";"2012-2022";"Computer Graphics and Computer-Aided Design (Q3); Computer Networks and Communications (Q3); Management of Technology and Innovation (Q3); Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Information Systems (Q4)";"Business, Management and Accounting; Computer Science"
1519;6100152807;"International Journal of Value Chain Management";journal;"17415365, 17415357";0,231;Q4;15;20;53;1061;62;53;0,97;53,05;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2006-2014, 2016-2022";"Strategy and Management (Q3); Computer Science Applications (Q4); Information Systems (Q4)";"Business, Management and Accounting; Computer Science"
1520;21100865101;"Synthesis Lectures on Human Language Technologies";book series;"19474040";0,231;Q4;26;37;10;1716;54;5;7,29;46,38;United States;Northern America;"Morgan and Claypool Publishers";"2009-2022";"Linguistics and Language (Q2); Computer Networks and Communications (Q4); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1521;21100831441;"TEM Journal";journal;"22178309, 22178333";0,231;Q3;17;240;689;6188;811;689;1,21;25,78;Serbia;Eastern Europe;"UIKTEN - Association for Information Communication Technology Education and Science";"2017-2022";"Computer Science (miscellaneous) (Q3); Education (Q3); Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3); Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
1522;21100197928;"Applied Mathematics and Information Sciences";journal;"19350090, 23250399";0,230;Q4;44;91;375;2401;320;375;1,07;26,38;United States;Northern America;"Natural Sciences Publishing";"2007-2023";"Analysis (Q4); Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4); Numerical Analysis (Q4)";"Computer Science; Mathematics"
1523;21100840337;"Baghdad Science Journal";journal;"24117986, 20788665";0,230;Q3;10;175;478;5030;397;478;0,83;28,74;Iraq;Middle East;"University of Baghdad";"2017-2022";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Mathematics; Physics and Astronomy"
1524;21101070236;"Bulletin of the Transilvania University of Brasov, Series III: Mathematics and Computer Science";journal;"28102029";0,230;Q3;6;31;122;533;47;121;0,39;17,19;Romania;Eastern Europe;"Transilvania University Press";"2021-2022";"Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4)";"Computer Science; Mathematics"
1525;21100939681;"eJournal of eDemocracy and Open Government";journal;"20759517";0,230;Q4;20;19;47;1067;59;41;1,56;56,16;Austria;Western Europe;"Department for E-Governance and Administration";"2009-2021";"Sociology and Political Science (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1526;19700181115;"ICIC Express Letters, Part B: Applications";journal;"21852766";0,230;Q3;14;155;430;3033;263;427;0,65;19,57;Japan;Asiatic Region;"ICIC Express Letters Office";"2010-2022";"Computer Science (miscellaneous) (Q3)";"Computer Science"
1527;19700186872;"International Journal of Cognitive Informatics and Natural Intelligence";journal;"15573958, 15573966";0,230;Q4;26;15;121;582;110;121;0,90;38,80;United States;Northern America;"IGI Global Publishing";"2007-2022";"Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science"
1528;21100864387;"International Journal of Swarm Intelligence Research";journal;"19479263, 19479271";0,230;Q4;9;10;67;489;94;67;1,31;48,90;United States;Northern America;"IGI Global Publishing";"2016-2022";"Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Science Applications (Q4)";"Computer Science"
1529;21100793172;"Informatika i ee Primeneniya";journal;"19922264, 23109912";0,229;Q4;9;55;194;766;77;194;0,47;13,93;Russian Federation;Eastern Europe;"Federal Research Center Computer Science and Control of Russian Academy of Sciences";"2015-2022";"Applied Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Information Systems (Q4); Software (Q4)";"Computer Science; Mathematics"
1530;17294;"Defence Science Journal";journal;"0011748X, 0976464X";0,228;Q4;37;94;287;2567;292;283;1,05;27,31;India;Asiatic Region;"Defense Scientific Information and Documentation Centre";"1970-1989, 1991-2022";"Chemical Engineering (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Physics and Astronomy (miscellaneous) (Q3); Biomedical Engineering (Q4); Computer Science Applications (Q4)";"Chemical Engineering; Computer Science; Engineering; Physics and Astronomy"
1531;21100466428;"Herald of the Bauman Moscow State Technical University, Series Natural Sciences";journal;"18123368";0,228;Q3;10;45;159;1014;60;159;0,37;22,53;Russian Federation;Eastern Europe;"Bauman University Publishing House";"2016-2022";"Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4)";"Chemistry; Computer Science; Engineering; Mathematics; Physics and Astronomy"
1532;21100922608;"International Journal of Computational Materials Science and Engineering";journal;"2047685X, 20476841";0,228;Q4;12;24;73;1043;91;73;1,22;43,46;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"2012-2013, 2015-2023";"Materials Science (miscellaneous) (Q3); Mechanics of Materials (Q3); Computer Science Applications (Q4); Modeling and Simulation (Q4); Numerical Analysis (Q4)";"Computer Science; Engineering; Materials Science; Mathematics"
1533;25495;"Journal Europeen des Systemes Automatises";journal;"21167087, 12696935";0,228;Q4;21;92;292;2647;299;292;1,02;28,77;France;Western Europe;"International Information and Engineering Technology Association";"1996-2014, 2016-2022";"Electrical and Electronic Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Computer Science Applications (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
1534;12492;"Journal of Information Science and Engineering";journal;"10162364";0,228;Q4;41;73;249;2312;280;248;1,19;31,67;Taiwan;Asiatic Region;"Institute of Information Science";"1993-1994, 1996-2022";"Library and Information Sciences (Q3); Computational Theory and Mathematics (Q4); Hardware and Architecture (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Social Sciences"
1535;21101041506;"Turkish Computational and Theoretical Chemistry";journal;"26023237, 25871722";0,228;Q4;7;9;30;301;59;30;2,45;33,44;Turkey;Middle East;"DergiPark";"2018-2022";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Materials Chemistry (Q3); Biochemistry (Q4); Computer Science Applications (Q4); Molecular Medicine (Q4); Physical and Theoretical Chemistry (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science"
1536;13196;"Progress in Computational Fluid Dynamics";journal;"14684349, 17415233";0,227;Q4;32;29;93;1072;83;93;0,83;36,97;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2001-2022";"Computer Science Applications (Q4); Condensed Matter Physics (Q4)";"Computer Science; Physics and Astronomy"
1537;12100154806;"International Journal of e-Business Research";journal;"1548114X, 15481131";0,226;Q4;25;8;57;580;93;57;1,49;72,50;United States;Northern America;"IGI Publishing";"2005-2022";"Management Information Systems (Q3); Computer Science Applications (Q4)";"Business, Management and Accounting; Computer Science"
1538;19700173238;"Journal of Cellular Automata";journal;"15575977, 15575969";0,226;Q3;15;11;53;293;18;52;0,25;26,64;United States;Northern America;"Old City Publishing";"2008-2022";"Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
1539;21100237436;"Journal of Information and Knowledge Management";journal;"02196492, 17936926";0,226;Q4;25;105;182;5114;276;179;1,40;48,70;United States;Northern America;"World Scientific Publishing Co., Inc.";"2002-2022";"Library and Information Sciences (Q3); Computer Networks and Communications (Q4); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1540;21100201073;"Journal of Institute of Control, Robotics and Systems";journal;"19765622";0,226;Q4;12;163;432;2834;294;425;0,82;17,39;South Korea;Asiatic Region;"Institute of Control, Robotics and Systems";"2008-2022";"Applied Mathematics (Q4); Control and Systems Engineering (Q4); Software (Q4)";"Computer Science; Engineering; Mathematics"
1541;12288;"Nonlinear Optics Quantum Optics";journal;"15430537";0,226;Q3;21;44;103;1206;107;103;1,28;27,41;United States;Northern America;"Old City Publishing";"2003-2022";"Computer Science (miscellaneous) (Q3); Atomic and Molecular Physics, and Optics (Q4); Electronic, Optical and Magnetic Materials (Q4); Instrumentation (Q4); Statistical and Nonlinear Physics (Q4)";"Computer Science; Materials Science; Physics and Astronomy"
1542;21100448565;"Zhongguo Kexue Jishu Kexue/Scientia Sinica Technologica";journal;"16747259, 2095946X";0,226;Q4;17;131;392;5274;505;392;1,28;40,26;China;Asiatic Region;"Chinese Academy of Sciences";"2016-2022";"Computer Networks and Communications (Q4); Control and Systems Engineering (Q4)";"Computer Science; Engineering"
1543;18300156736;"Acta Scientiarum - Technology";journal;"18078664, 18062563";0,225;Q3;22;69;179;2256;186;179;0,96;32,70;Brazil;Latin America;"Universidade Estadual de Maringa";"2008-2023";"Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3); Mathematics (miscellaneous) (Q4)";"Chemistry; Computer Science; Earth and Planetary Sciences; Engineering; Mathematics; Physics and Astronomy"
1544;21101030394;"Business Informatics";journal;"25878158, 2587814X";0,225;Q4;10;24;74;798;83;74;0,88;33,25;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2017-2022";"Business and International Management (Q3); Economics and Econometrics (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3); Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
1545;21100935898;"Computer Science Journal of Moldova";journal;"15614042";0,225;Q4;5;24;57;507;35;57;0,48;21,13;Moldova;Eastern Europe;"Institute of Mathematics and Computer Science of Moldova";"2019-2022";"Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Mathematics"
1546;31517;"IEEE Region 10 Annual International Conference, Proceedings/TENCON";conference and proceedings;"21593450, 21593442";0,225;-;41;253;1436;4255;1326;1419;0,76;16,82;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-1993, 1995-1997, 1999-2000, 2002-2013, 2015-2021";"Computer Science Applications; Electrical and Electronic Engineering";"Computer Science; Engineering"
1547;12100156732;"International Journal of Business Data Communications and Networking";journal;"15480631, 1548064X";0,225;Q4;13;1;29;43;39;29;1,81;43,00;United States;Northern America;"IGI Publishing";"2005-2021";"Management Information Systems (Q3); Computer Networks and Communications (Q4)";"Business, Management and Accounting; Computer Science"
1548;21100944442;"Journal of System and Management Sciences";journal;"18166075, 18180523";0,225;Q4;10;163;115;5536;194;115;1,74;33,96;China;Asiatic Region;"Success Culture Press";"2019-2022";"Information Systems and Management (Q3); Management of Technology and Innovation (Q3); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
1549;145567;"Pragmatics and Cognition";journal;"15699943, 09290907";0,225;Q3;37;0;53;0;39;51;0,49;0,00;Netherlands;Western Europe;"John Benjamins Publishing Company";"1993-2014, 2016-2021";"History and Philosophy of Science (Q2); Linguistics and Language (Q2); Computer Science (miscellaneous) (Q3); Behavioral Neuroscience (Q4)";"Arts and Humanities; Computer Science; Neuroscience; Social Sciences"
1550;19644;"Technology and Health Care";journal;"18787401, 09287329";0,224;Q4;49;185;396;5559;518;386;1,26;30,05;Netherlands;Western Europe;"IOS Press BV";"1993-2022";"Bioengineering (Q4); Biomaterials (Q4); Biomedical Engineering (Q4); Biophysics (Q4); Health Informatics (Q4); Information Systems (Q4); Medicine (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science; Medicine"
1551;21100198230;"International Journal of Intelligent Systems Technologies and Applications";journal;"17408865, 17408873";0,223;Q3;19;10;88;323;81;87;0,72;32,30;Switzerland;Western Europe;"Inderscience Publishers";"2005-2021";"Computer Science (miscellaneous) (Q3)";"Computer Science"
1552;32853;"Journal of Information Processing";journal;"03876101";0,222;Q3;23;96;296;2410;182;261;0,58;25,10;Japan;Asiatic Region;"Information Processing Society of Japan";"1979-1992, 2008-2022";"Computer Science (miscellaneous) (Q3)";"Computer Science"
1553;18400156714;"Journal of Web Engineering";journal;"15409589";0,222;Q4;15;56;180;1805;179;176;0,92;32,23;United States;Northern America;"River Publishers";"2008-2022";"Computer Networks and Communications (Q4); Information Systems (Q4); Software (Q4)";"Computer Science"
1554;17600155052;"Optical Memory and Neural Networks (Information Optics)";journal;"19347898, 1060992X";0,222;Q3;22;40;104;1460;125;104;1,21;36,50;United States;Northern America;"Pleiades Publishing";"2008-2022";"Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3); Electronic, Optical and Magnetic Materials (Q4)";"Computer Science; Engineering; Materials Science"
1555;21100201051;"Annals of Library and Information Studies";journal;"09725423, 09752404";0,221;Q4;16;31;88;968;81;83;0,74;31,23;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2011-2022";"Library and Information Sciences (Q3); Computer Science Applications (Q4)";"Computer Science; Social Sciences"
1556;21100823283;"International Journal of Asian Business and Information Management";journal;"19479638, 19479646";0,221;Q4;8;18;107;1076;137;103;1,39;59,78;United States;Northern America;"IGI Global Publishing";"2017-2022";"Cultural Studies (Q2); Business and International Management (Q3); Computer Science Applications (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Computer Science; Social Sciences"
1557;19900193685;"International Journal of Knowledge-Based and Intelligent Engineering Systems";journal;"13272314, 18758827";0,221;Q4;21;13;88;423;103;88;1,03;32,54;Netherlands;Western Europe;"IOS Press BV";"2004-2022";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Software (Q4)";"Computer Science; Engineering"
1558;19700201512;"IPSJ Transactions on System LSI Design Methodology";journal;"18826687";0,221;Q4;13;3;28;40;16;26;0,47;13,33;Japan;Asiatic Region;"Information Processing Society of Japan";"2008-2022";"Electrical and Electronic Engineering (Q3); Computer Science Applications (Q4)";"Computer Science; Engineering"
